date,model,alpha,pinball_loss
2024-03-18,gas_vine,0.01,0.00011174943856529288
2024-03-19,gas_vine,0.01,0.00011181805168378702
2024-03-20,gas_vine,0.01,0.00017571023357378874
2024-03-21,gas_vine,0.01,0.00011237011065966968
2024-03-22,gas_vine,0.01,9.010367600451064e-05
2024-03-25,gas_vine,0.01,0.00010301133594712059
2024-03-26,gas_vine,0.01,0.0001287355784127647
2024-03-27,gas_vine,0.01,0.00014930607629821287
2024-03-28,gas_vine,0.01,0.00011901773687862729
2024-04-01,gas_vine,0.01,7.632674959443358e-05
2024-04-02,gas_vine,0.01,0.00011618173639947747
2024-04-03,gas_vine,0.01,0.00014273041801272435
2024-04-04,gas_vine,0.01,8.199053628763002e-05
2024-04-05,gas_vine,0.01,0.00011115331044180919
2024-04-08,gas_vine,0.01,0.0001443563892956062
2024-04-09,gas_vine,0.01,0.0001501438009193044
2024-04-10,gas_vine,0.01,0.0019802195695031565
2024-04-11,gas_vine,0.01,0.00016025733449790279
2024-04-12,gas_vine,0.01,3.145805300382925e-05
2024-04-15,gas_vine,0.01,0.0001189291826459336
2024-04-16,gas_vine,0.01,7.567806902312093e-05
2024-04-17,gas_vine,0.01,0.0001412525377994983
2024-04-18,gas_vine,0.01,0.00011846760296256685
2024-04-19,gas_vine,0.01,0.00011740986602656951
2024-04-22,gas_vine,0.01,0.00012431120259021725
2024-04-23,gas_vine,0.01,0.00016457984709133128
2024-04-24,gas_vine,0.01,0.00012742371696384194
2024-04-25,gas_vine,0.01,0.00010640823242958238
2024-04-26,gas_vine,0.01,0.00018061812764005026
2024-04-29,gas_vine,0.01,0.00015669482923346713
2024-04-30,gas_vine,0.01,1.7090352877954275e-06
2024-05-01,gas_vine,0.01,0.0001635382975041597
2024-05-02,gas_vine,0.01,0.00021112014065626558
2024-05-03,gas_vine,0.01,0.00019211861401835793
2024-05-06,gas_vine,0.01,0.0001792696682998906
2024-05-07,gas_vine,0.01,0.00012488075602048093
2024-05-08,gas_vine,0.01,9.747299699468351e-05
2024-05-09,gas_vine,0.01,0.0001799036590855374
2024-05-10,gas_vine,0.01,0.00011476003203695316
2024-05-13,gas_vine,0.01,0.00011810437968178385
2024-05-14,gas_vine,0.01,0.00017809941896462442
2024-05-15,gas_vine,0.01,0.0002076060672287235
2024-05-16,gas_vine,0.01,9.891864244764947e-05
2024-05-17,gas_vine,0.01,0.00014064607721608113
2024-05-20,gas_vine,0.01,0.00010607506551567427
2024-05-21,gas_vine,0.01,0.00011888488847513493
2024-05-22,gas_vine,0.01,4.9614690185610517e-05
2024-05-23,gas_vine,0.01,3.890644492367726e-05
2024-05-24,gas_vine,0.01,0.000163984304365586
2024-05-28,gas_vine,0.01,0.00011363838453374805
2024-05-29,gas_vine,0.01,2.283464985773651e-05
2024-05-30,gas_vine,0.01,0.00015529641849219933
2024-05-31,gas_vine,0.01,0.0001345058219638051
2024-06-03,gas_vine,0.01,0.000185389132324672
2024-06-04,gas_vine,0.01,8.457776342458257e-05
2024-06-05,gas_vine,0.01,0.0001983725665760684
2024-06-06,gas_vine,0.01,0.00014830281738322556
2024-06-07,gas_vine,0.01,0.005191785490467115
2024-06-10,gas_vine,0.01,0.00016819867559328462
2024-06-11,gas_vine,0.01,0.00014972879466368922
2024-06-12,gas_vine,0.01,0.00020321585329084995
2024-06-13,gas_vine,0.01,0.00010739072693291726
2024-06-14,gas_vine,0.01,0.00014382136108506046
2024-06-17,gas_vine,0.01,0.00012133432406470305
2024-06-18,gas_vine,0.01,0.00018643259371696518
2024-06-20,gas_vine,0.01,0.00014616010190257175
2024-06-21,gas_vine,0.01,9.214719332455386e-05
2024-06-24,gas_vine,0.01,0.00015653272812402415
2024-06-25,gas_vine,0.01,0.0001113172916369732
2024-06-26,gas_vine,0.01,5.4348119244180294e-05
2024-06-27,gas_vine,0.01,0.00016200853328200707
2024-06-28,gas_vine,0.01,0.00010649963888052941
2024-07-01,gas_vine,0.01,9.721877842848392e-05
2024-07-02,gas_vine,0.01,0.00012909233735009746
2024-07-03,gas_vine,0.01,0.00020513619634431567
2024-07-05,gas_vine,0.01,0.0001911939377202817
2024-07-08,gas_vine,0.01,7.848778350116661e-05
2024-07-09,gas_vine,0.01,0.00012015808736035892
2024-07-10,gas_vine,0.01,0.0001573756067712491
2024-07-11,gas_vine,0.01,0.00018099333666830628
2024-07-12,gas_vine,0.01,0.00015419448553002596
2024-07-15,gas_vine,0.01,8.129890574217966e-05
2024-07-16,gas_vine,0.01,0.00020379864818227412
2024-07-17,gas_vine,0.01,6.238669938567747e-05
2024-07-18,gas_vine,0.01,6.463742979371478e-05
2024-07-19,gas_vine,0.01,5.8393670748023064e-05
2024-07-22,gas_vine,0.01,0.0001532619461864706
2024-07-23,gas_vine,0.01,0.00010043529307660107
2024-07-24,gas_vine,0.01,6.543988086880121e-05
2024-07-25,gas_vine,0.01,9.061393314735978e-05
2024-07-26,gas_vine,0.01,0.00020884780008368159
2024-07-29,gas_vine,0.01,0.00011579167875076289
2024-07-30,gas_vine,0.01,0.00015107349783797394
